text,label
আমার মাথায় অনেক খুশকি আর অনেক চুল্কায় আর চুল অনেক রুক্ষ,patient statement
"আজ আমি কাচারিবাড়ি ঘুরে দেখলাম, এটির ইতিহাস জানার পর আমি আরও বেশি আকৃষ্ট হলাম!",Normal statement
আমার শরীর অনেক দূর্বল লাগে আর কথা বলতে অসুবিধা হয়।,patient statement
আজকের ক্রিকেট ম্যাচে ভুল সিদ্ধান্তের জন্য খুব রাগ লাগলো!,Normal statement
আমার মেয়ের বাম স্তন অনেক ব্যথা করছে,patient statement
আমার চোখের মনির পাশে তৈলাক্ত হয়ে থাকে আর লাল রেখার মত উঠে আর চোখ অনেক চুল্কায়,patient statement
আমার মায়ের পিরিয়ড হলে অনেক রক্ত বের হয় শক্ত দলার মত,patient statement
"নদীর তীরে কচুরিপানা ভেসে উঠছে, এটা দেখে খুব দুঃখিত!",Normal statement
"আজ ঐতিহাসিক স্থাপনাগুলির অবস্থায় খুব রেগে গেছি, কেন এত অবহেলা?",Normal statement
আমার মায়ের পিরিয়ড হলে রক্ত পড়া বন্ধ হতে চায় না,patient statement
স্বপ্ন ভেঙে গেছে আশাটাও মরে গেছে।,Normal statement
চাচার চোখের পাতা অনেক জ্বালা পুড়া করে নাকি,patient statement
"আজকের বিকেলটা এত সুন্দর ছিল, হালকা বাতাসে মনটা একদম ফুরফুরে লাগছিল! তোমার মিষ্টি কথাগুলো মন ভালো করে দেয়, তোমার সাথে কথা বলে খুব ভালো লাগলো! আজ আমি অনেক পুরোনো বন্ধুদের সাথে দেখা করেছি, সময়টা দারুণ কেটেছে!",Normal statement
আমার মায়ের হাতের কনুইতে অনেক ব্যথা করে। আবার অনেক সময় মা ঠিক বুঝতে পারে না যে হাত বা পায়ের ঠিক কোথায় ব্যথা করছে।,patient statement
"আজকের ম্যাচে আমাদের দল আশা করেছিলো জয় পাবে, কিন্তু হেরে গেল, সবাই খুব দুঃখিত!",Normal statement
আমার মুখে অনেক বড় ফোঁড়ার মত উঠে আর লাল হয়ে থাকে আর আস্তে আস্তে দাগ বসে যায়,patient statement
ফলাফল দেখে আমি খুবই আনন্দিত।,Normal statement
আমার মায়ের হঠাৎ করে অনেক বুকে ব্যথা হয় আর মা তখন অনেক ঘামতে থাকেন আর হাত-পা ঠান্ডা হয়ে আসে।,patient statement
আমার মায়ের হাতে অনেক গুলো টিউমার হয়েছে আর এগুলো ব্যথা করে,patient statement
আমার শরীরের গিরায় গিরায় ব্যথা,patient statement
"শহরের রাস্তায় এত ভীড়, আমি রেগে গেছি!",Normal statement
আমি একটি সুন্দর দৃশ্য দেখছি | খুব মুগ্ধ হচ্ছি। | প্রকৃতির সৌন্দর্যে মুগ্ধ হয়ে গেছি।,Normal statement
ফুটবল ম্যাচে আমাদের দলের অবহেলা দেখে আমি সত্যিই রেগে গেছি!,Normal statement
আমার প্রচন্ড গলা ব্যথা আর গলা ভেঙ্গে গিয়েছে। আমার কণ্ঠ অনেক কর্কশ হয়ে গিয়েছে।,patient statement
আমার অনেক নার্ভাস লাগে। ক্লান্ত লাগে। আর অনেক ঘাম হয়।,patient statement
আমার মা ধুলা ময়লা গেলেই চোখ খুব চুল্কায় আর লাল হয়ে যায়,patient statement
আমার মনে হয় অ্যাপেনডিসাইটিসের ব্যথা করছে অনেক,patient statement
আমার ছেলে ফুটবল খেলতে গিয়ে পায়ে অনেক ব্যথা পায় এখন ও ভাড়ি কিছু বহনই করতে পারে না,patient statement
আমার আম্মুর পেট ফুলে ফেপে শক্ত হয়ে আছে আর অনেক ব্যথা করছে,patient statement
আজকের দিনটা আমার জন্য খুবই হতাশাময়। কেউ আমাকে বুঝতে চায় না।,Normal statement
আজ আমার প্রিয় বন্ধুর সাথে অনেক ভালো সময় কাটালাম! তোমার হাসি আমার দিনটা আরো সুন্দর করে দেয়! আজকের রাতের আকাশ খুবই সুন্দর ছিল!,Normal statement
আমার বাবার বুক জ্বালা পুড়া করে। ,patient statement
"আজ বাজারে গিয়ে দাম কম দেখলাম, সত্যিই অনেক খুশি হলাম!",Normal statement
"গ্রামে অযত্নে পড়ে থাকা কিছু জায়গা দেখে খুব রাগ হচ্ছে! জায়গাগুলো আগে সুন্দর ছিল, কিন্তু এখন অবহেলায় এবং নির্লিপ্তভাবে ছেড়ে দেওয়া হয়েছে। এটা প্রকৃতির প্রতি সম্মানহীনতা!",Normal statement
শহরে ফিরে এসে সেই পুরনো কফি শপে গিয়ে এক কাপ কফি খেতে পেয়ে খুব ভালো লাগলো!,Normal statement
সিঁড়ি বেয়ে উঠতে গেলেই আমার অনেক হাঁটুতে অনেক ব্যথা করে,patient statement
"আমার অনেক ঠান্ডা, সর্দি আছে। সাথে জ্বর প্রায় ১০৩ ডিগ্রির মত ছিলো। একটু পর পর জ্বর আসছে।",patient statement
কালকে থেকে আমার অনেক বেশি গাল এবং গলা ফুলে গিয়েছে,patient statement
আমি ধুলায় গেলে আমার স্কিন অনেক চুল্কায় আর ফুলে লাল হয়ে যায়। ,patient statement
"গ্রামে অনেক কিছু সঠিকভাবে দেখাশোনা হচ্ছে না, আমি সত্যিই রেগে গেছি!",Normal statement
আমার আস্তে আস্তে ওজন কমে যাচ্ছে আর বমি ভাব আর বমি হয়। দূর্বল লাগে।,patient statement
আমার প্রায় ৩ সপ্তাহ ধরে খুশখুশে কাশি,patient statement
আমার নিপল অনেক চুল্কায় এবং সাদা ময়লার মত বের হয়।,patient statement
"আজকের শোটা এতটাই বাজে ছিল, আমি ক্ষিপ্ত হয়ে গেছি!",Normal statement
আমি একটা নতুন গান শিখেছি | মনটা ভালো লাগছে।,Normal statement
"আজ স্কুলে একজন প্রিয় শিক্ষকের সাথে আলাদা হয়ে গেলাম, খুব দুঃখিত!",Normal statement
আমি চোখে ঝাপ্সা দেখি আর মাকড়শার জালের মত দেখি। স্পষ্ট দেখতে পাই না,patient statement
"আজকে শহরের লাইব্রেরিতে গিয়ে নতুন বই পড়লাম, খুব মজার অভিজ্ঞতা ছিল!",Normal statement
আমার বাবার শরীর খুব ব্যথা করে আর ব্যথাটা একেক সময় একেক জায়গায় করে,patient statement
আমার ছেলে কোনো কিছু চাবাতে গেলে দাঁতে অনেক ব্যথা পায়,patient statement
"আমার অনেক ঘাড়ে ব্যথা, ঠিকমত ঘুম হয় না। চোখে রক্ত জমাট বাধার মত দাগ পরে যায়।",patient statement
আমি স্কিন অনেক চুল্কায় আর ধরলে ব্যথা করে,patient statement
আমার মেয়ে ৩ মাসের প্র্যাগনেন্ট। ওর অনেক বেশি প্রেসার থাকে আর খিচুনি উঠে। এমনকি মুখ থেকে লালাও বের হয় তখন,patient statement
"আজ ঐতিহাসিক দুর্গ দেখলাম, তবে তার প্রাচীন গঠন হারিয়ে গেছে, মন খারাপ!",Normal statement
আমার বাবার হাত অনেক ব্যথা করে নাড়াতেই পারে না,patient statement
"আমি ভাড়ি কোনো জিনিস বহন করতে পারি না মাজা, হাত প্রচন্ড ব্যথা করে",patient statement
"আজ স্কুলে একজন সহপাঠী আমাকে অত্যন্ত বিরক্ত করেছে, রাগে কাঁপছি!",Normal statement
"তুমি বারবার একই ভুল করছ, এটা খুবই বিরক্তিকর!",Normal statement
আজকের দিনটা আমার জন্য খুবই দুঃখজনক। কোনো কিছুই ঠিকঠাক হচ্ছে না।,Normal statement
"আজ আমি অনেক খুশি, বাবা-মা খুব গর্বিত! তুমি যখন আমাকে সমর্থন দাও, তখন আমি সব কিছু সহজভাবে করতে পারি! আজকের দিনটা আমার জন্য অমূল্য হয়ে উঠেছে!",Normal statement
আমার খাবার চাবিয়ে খেতে গেলে গলা অনেক ব্যথা করে।,patient statement
আমার চোখ উঠেছিলো প্রায় ৩ সপ্তাহ হয়ে গেছে কিন্তু এখনো ঠিক হয় নি। অনেক ব্যথা করে চোখে একদমই প্রেসার দিতে পারি না,patient statement
"বাজারে গিয়ে অনেক ভালো দাম পেলাম, খুব খুশি! আজকে অনেক মজার কিছু কিনলাম, সবাই খুব ভালো ছিল।",Normal statement
আমার বাবার বুকে ব্যথা শুরু হলে প্রায় কয়েক মিনিটের মত এই ব্যথা থাকে তখন শ্বাস নিতে অনেক কষ্ট হয়,patient statement
আমার প্রায় এক সপ্তাহ ধরে কাশি আর সাথে কফ বের হয়। কফের সাথে রক্ত বের হয়।,patient statement
আমার নাতনির বাম পা ভেঙ্গে গিয়েছে,patient statement
"ক্রিকেট ম্যাচে হারার পর মনে হলো, সবাই হতাশ হয়ে পড়েছে!",Normal statement
আমার ঘুম আসে না হাজার চেষ্টা করেও,patient statement
আমার মায়ের চোখ ভাড় হয়ে থাকে ঘুম ঘুম ভাব হয়ে থাকে। অশান্তি লাগে,patient statement
"আমি এখন আর কিছুই সহ্য করতে পারছি না, কেন সবাই আমার উপর চাপ দিচ্ছে? মনে হচ্ছে সবাই শুধু আমাকে ব্যবহার করতে চায়। এটা সত্যিই খুব অস্বস্তিকর, আমি আর কোনো কিছু সহ্য করতে পারছি না।",Normal statement
"আজ আমি অনেক সুন্দর কিছু মুহূর্ত ক্যামেরায় বন্দী করেছি, ছবিগুলো সত্যিই অসাধারণ! তোমার হাসিটা দেখলেই মন ভালো হয়ে যায়, সব কিছু সুন্দর লাগে! আজকের নরম রোদ আর হালকা বাতাস সত্যিই মন ভালো করে দিল!",Normal statement
আমার প্রস্রাবের অনেক চাপ আসে কিন্তু সেই তুলনায় খুব কম প্রস্রাব হয়। আর অনেক ব্যথা করে।,patient statement
"আজ সত্যিই রেগে গেছি, কিছুই সঠিকভাবে কাজ করছে না। এই পরিস্থিতি একেবারে অসহনীয় হয়ে উঠেছে।",Normal statement
আমার মেয়ের হঠাৎ করে বুকে ব্যথা হয় অনেক ,patient statement
আমার মেয়ের অনেক ঠান্ডা লেগেছে আর সর্দি পরছে। আর খাবারের কোনো স্বাদ পাচ্ছে না।,patient statement
আমার দূরের জিনিস দেখতে অনেক কষ্ট হয় আর তখন মাথা ব্যথা করে,patient statement
আমার আম্মুর স্তনে গোলাকার চাকার মত দলা জমেছে আর এগুলো অনেক ব্যথা করে,patient statement
"স্কুলে আজ খুব মজা করলাম, সবাই একসাথে খেলাম!",Normal statement
আমার মায়ের রাতে ঠিকমত ঘুম হয় না। ঘুম অনেক পাতলা,patient statement
আজকের ঘটনায় আমি সত্যিই রেগে গেছি 😡,Normal statement
"আজ আমি আমার সবচেয়ে ভালো বন্ধুদের সাথে অনেক সময় কাটিয়েছি, এবং আমরা অনেক হাসাহাসি করেছি। তাদের সাথে কাটানো সময়ের প্রতিটি মুহূর্তই অসাধারণ। আমি খুব আনন্দিত যে, আমি তাদের সাথে আছি। আজকের দিনটা সত্যিই খুব সুখী ছিল।",Normal statement
আমার বোনের গালের এক পাশে কোনো বোধ শক্তি নেই এবং চোখ বন্ধ করতে পারে না ,patient statement
আমি শক্ত কিছু খেতে গেলে দাঁতে ব্যথা পাই,patient statement
"আজ স্কুলে কিছুটা অগোছালো অবস্থা ছিল, খুব রাগি মনে হচ্ছে!",Normal statement
আমার পেটের ডান দিকে অনেক ব্যথা করে। সহ্য করার মত না,patient statement
আমার একটু পরপরই ঢেক আসছে আর গলা জ্বলছে।  আর বমির ভাব হয়ে আছে।,patient statement
আজ আমি খুবই রাগান্বিত বোধ করছি। সবকিছু যেন গোলমেলে লাগছে।,Normal statement
আমার দাদুর ডায়াবেটিস কমছে না,patient statement
"স্কুলে আজ অনেক নতুন কিছু শিখলাম, মনটা খুব ভালো লাগছে!",Normal statement
"এতটা অসহায় অনুভব করছি, আমি সত্যিই রেগে গেছি। কোনো কিছু তো কখনো সঠিকভাবে হয়নি, আর আমি শুধু ক্ষোভ অনুভব করছি। দিনটা খুবই খারাপ ছিল, আমার অসন্তোষ কিছুতেই শেষ হচ্ছে না।",Normal statement
আমার প্রায় ৩ সপ্তাহ ধরে খুশখুশে কাশি,patient statement
"নদীর পাড়ে বসে বই পড়তে খুব ভালো লাগলো, শান্ত পরিবেশ ছিল!",Normal statement
আজ আমি খুবই রাগান্বিত বোধ করছি।,Normal statement
"আজকের রোদেলা দিনে দারুণ অনুভূতি হচ্ছিল, প্রকৃতি যেন নতুন করে প্রাণিত হয়েছে! তোমার সঙ্গে গল্প করতে করতে সময়টা কেটে গিয়েছে, একদম ভালো লাগছে! আজকের কাজের ফলস্বরূপ অনেক ভালো কিছু অর্জন করলাম!",Normal statement
আজকের দিনটা আমার জন্য খুবই বিরক্তিপূর্ণ।,Normal statement
আমার মনটা আজ খুবই অবসন্ন। সবকিছু যেন ভেঙে পড়েছে।,Normal statement
আমার মনটা আজ খুবই উত্তপ্ত। সবকিছু যেন ভেঙে পড়েছে।,Normal statement
"তুমি সবসময় দেরি করো, এটা খুবই বিরক্তিকর!",Normal statement
আমার মা এর অনেক বেশি ঘুম ভেঙ্গে যায় ,patient statement
"গ্রামের বাড়িতে ফিরে আসতে মনে হলো আগের মতো কিছু আর নেই, মনটা ভারী হয়ে গেল!",Normal statement
"গ্রামের পুকুরে দূষণ বেড়ে যাচ্ছে, এটা আমাকে রেগে দিচ্ছে!",Normal statement
"পরিবারের সদস্যরা একে অপরকে সমঝোতা করতে চাচ্ছে না, আমি খুব রাগিত!",Normal statement
"বাজারের দোকানদারের আচরণ খুব বাজে ছিল, তারা কোনো সাহায্যই করতে চায়নি, এটা দেখে আমার খুব রাগ হলো!",Normal statement
আমার আব্বুর বুকে অনেক ব্যথা করে আর তখন শ্বাস নিতে কষ্ট হয়,patient statement
আমি একটা নতুন খাবার খাচ্ছি | খুব সুস্বাদু লাগছে।,Normal statement
"ফুটবল ম্যাচে আমাদের দলের গোলগুলি অনেক সুন্দর ছিল, পুরো ম্যাচটাই ছিল দারুণ!",Normal statement
আমার আম্মুর চোখ লাল হয়ে গেছে দেখলে মনে হয় রক্ত জমে আছে,patient statement
চিঠির মধ্যে এমন কিছু লেখা ছিল যা আমাকে খুব ক্ষুব্ধ করেছে!,Normal statement
আমার দাদু সিঁড়ি বেয়ে উঠতে গেলে হাঁটুতে ব্যথা পায়,patient statement
আমার গলার দুই পাশে ফুলে গিয়েছে,patient statement
"গ্রামের রাস্তা এত খারাপ হয়ে গেছে, আমি খুব রেগে গেছি!",Normal statement
স্কুলে আজ সবাই একসাথে প্রাকটিক্যাল ক্লাসে মজা করলাম!,Normal statement
আমার আম্মুর খাওয়ার ক্রেভিং অনেক বেশি হচ্ছে দিন দিন। আর ঘন ঘন প্রস্রাব হয়।,patient statement
আজ আমি খুবই রাগান্বিত। সবকিছু যেন ভেঙে পড়েছে।,Normal statement
আজকের দিনটা আমার জন্য খুবই বিষাদময়। সবকিছু যেন অন্ধকার।,Normal statement
আমার বোনের স্তনে গোটার মত উঠেছে,patient statement
তুমি আমাকে এতবার কথা দিয়েও কেন প্রতারণা করলে?,Normal statement
"পরিবারের সদস্যদের সাথে একসাথে পিকনিক করতে গিয়েছিলাম, খুব আনন্দিত ছিলাম!",Normal statement
"আজকের আন্তর্জাতিক ফুটবল ম্যাচে আমাদের দল হেরে গিয়েছে, এবং মনটা খুব খারাপ!",Normal statement
আমি কোনো ভাবেই সোজা হয়ে বসলে পিঠে ব্যথা করে,patient statement
"আজ ঐতিহাসিক মন্দিরের অবস্থা দেখে আমি রেগে গেছি, রক্ষণাবেক্ষণের অভাব!",Normal statement
আমার অনেক বেশি গলা শুকায় যায় এবং ঘন ঘন জ্বর আসে,patient statement
"আজকের বৃষ্টি ভীষণ সুন্দর লাগছিল, জানালার পাশে বসে কফি খেতে খেতে উপভোগ করলাম! তুমি যখন পাশে থাকো, তখন সব কিছুই সুন্দর লাগে! আজকের দিনটা চিরস্মরণীয় হয়ে থাকবে!",Normal statement
আমার মেয়ের অনেক ঠান্ডা লেগেছে আর সর্দি পরছে। আর খাবারের কোনো স্বাদ পাচ্ছে না,patient statement
আমি বেশিক্ষন দাঁড়িয়ে থাকতে পারি না।,patient statement
আমার ছেলের কান তিন ধরে অনেক ব্যথা ছিলো আর আজকে কান থেকে সাদা পানির মত বের হচ্ছে।,patient statement
কালকে থেকে বুকে চিন চিন ব্যথা অনুভব করছি ,patient statement
আমার ছেলের চোখের মনি অনেক বেশি ব্যথা করে আর পানি পরতে থাকে,patient statement
আমার বোনের শরীরে অনেক লাল দাগ হয়ে আছে,patient statement
"আজকের ফুটবল ম্যাচে আমাদের দল দারুণ খেলেছে, খুব খুশি যে আমরা জয়ী হয়েছি!",Normal statement
আজকের চিঠি ছিল এমন একটি সংবাদ যা আমার হৃদয়কে দুঃখিত করেছে!,Normal statement
আমার নাকে আর থুতনিতে সাদা বিচির মত উঠে আর মুখ অনেক বেশি খশখশা হয়ে থাকে।,patient statement
আমি খুব রাগ করছি | সব কিছুই আমার বিরুদ্ধে যেন চলছে। | আমার মনে হচ্ছে সারা দুনিয়া আমার বিরুদ্ধে ষড়যন্ত্র করছে।,Normal statement
আমার বোনের নিপল অনেক চুল্কায়,patient statement
"আজকের আন্তর্জাতিক ফুটবল ম্যাচে আমাদের দলের কৌশল সফল হয়েছিল, জয় পেয়ে খুব ভালো লাগলো!",Normal statement
"আজ আমার সমস্ত পরিশ্রম কোথায় গেল? একটুও সঠিক পথে তো কিছু হল না! আমি খুব রেগে আছি, কোনো কিছুই তো ঠিক হয়নি।",Normal statement
"বাবার কাছ থেকে একটা চিঠি পেয়েছি, এটি পড়তে পড়তে আমার খুব ভালো লাগলো!",Normal statement
স্কুলে আজ একটা বড় ভুল করার পর খুব দুঃখিত মনে হচ্ছে!,Normal statement
আমার ভাইয়ার পেট ফুলে ফেপে আছে আর বমি করছে,patient statement
আমার মেয়ের পায়ে অনেক গুলো টিউমার হয়েছে আর এগুলো ব্যথা করে,patient statement
আমার বোনের স্তন ফুলে লাল হয়ে আছে,patient statement
ভালোবাসা খুঁজতে খুঁজতে ক্লান্ত হয়ে পড়েছি | হয়তো আমার জন্য ভালোবাসা নেই। | আমি ভালোবাসা হারিয়ে ফেলেছি।,Normal statement
"আমার মাসেলে অনেক ব্যথা করে, ঘুম ঠিকমত হয় না। অনেক ক্লান্ত লাগে।",patient statement
"ক্রিকেট ম্যাচে কিছু ভুল সিদ্ধান্ত আমাদের পরাজয়ের দিকে নিয়ে গেছে, আমি খুব রেগে গেছি!",Normal statement
"আজকের ম্যাচে আমাদের দলের প্রতিটি সদস্য ভালো পারফরম্যান্স দেখিয়েছে, আমরা সবাই গর্বিত!",Normal statement
আমার বাবার বাম গালে কালো দাগ পরেছে আর এই দাগ আস্তে আস্তে বাড়ছে,patient statement
আমার মামির মুখে অনেক ব্রণ হয়েছে,patient statement
এই ঘটনা আমাকে প্রচণ্ড ক্ষুব্ধ করেছে।,Normal statement
আজকের এই ঘটনায় আমি খুবই রেগে গেছি 😤,Normal statement
"শহরের রাস্তায় এত যানজট, আমি সত্যিই রেগে গেছি!",Normal statement
এই পরিস্থিতি আমাকে প্রচণ্ড রেগে দিয়েছে।,Normal statement
"আজ বাবা-মা রেগে গিয়েছিলেন, মনটা বেশ ভারী লাগছে!",Normal statement
আজ আমি অনেক কষ্ট পাচ্ছি। আমার সব পরিকল্পনা ভেঙে গেছে।,Normal statement
আমি দাঁতে জোর পাচ্ছি না,patient statement
ভবিষ্যতের চিন্তায় রাতে ঘুম হয় না কী হবে আমার?,Normal statement
আমার একটু পরপরই ক্ষুধা লাগে। আর অনেক দুর্বল লাগে।,patient statement
আমার মায়ের চোখ থেকে অনেক ময়লা বের হয় আর একটু পর পর পানি পরে,patient statement
আমার বুক অনেক জ্বালা পুড়া করে। মনে হয় অনেক ভাড়ি কিছু চাপ দিচ্ছে বুকে।,patient statement
আজকের দিনটা আমার জন্য খুবই বিষণ্ণতাপূর্ণ। কোনো কিছুই ঠিকঠাক হচ্ছে না।,Normal statement
আমি হারিয়ে গেছি পথ খুঁজে পাচ্ছি না।,Normal statement
আজকের দিনটা আমার জন্য খুবই দুঃখময়। কেউ আমাকে বুঝতে চায় না।,Normal statement
আজকের দিনটা অনেক ইতিবাচকভাবে কাটলো | নিজেকে ভাগ্যবান মনে হচ্ছে,Normal statement
আমি মাথা ব্যথার যন্ত্রণায় দৈনন্দিন কাজগুলো ঠিকমত করতে পারি না,patient statement
আমার মেয়ের চোখ উঠেছিলো প্রায় ৩ সপ্তাহ হয়ে গেছে কিন্তু এখনো ঠিক হয় নি। একদমই প্রেসার দিতে পারে না,patient statement
"আমার হাতের কনুই, পায়ে চুল্কায় আর জায়গাটা সাদা কালো দাগ হয়ে গিয়েছে।",patient statement
আমার পায়ে পানি আসছে। ঠিকমত হাঁটতে পারছি না,patient statement
"আমরা সবাই একে অপরকে অসম্মান করেছি, আমি খুব রাগিত!",Normal statement
"নদীর পানির অবস্থা এত খারাপ, আমি সত্যিই বিরক্ত!",Normal statement
আমার বোনের গলা ফুলে আছে একদম শক্ত থকথকে দলার মত হয়েছে আর এটা বড় হচ্ছে,patient statement
"আজ স্কুলে খুব একা অনুভব করলাম, মনটা কিছুটা খালি ছিল!",Normal statement
আমার মায়ের পায়ে পানি আসে,patient statement
আমি কোনো বিষয় নিয়ে অতিরিক্ত টেনশন করি,patient statement
আমার মাথায় অনেক শুষ্ক খুশকি আর মাথা অনেক আঠালো হয়ে যায় আর অনেক চুল্কায়,patient statement
"তুমি যখন আমাকে বিশ্বাসঘাতকতা করো, তখন আমি ভাবি, তুমি কখনো আমাকে সত্যিই ভালোবাসনি। আমি যতবার তোমার প্রতি আস্থা রেখেছি, তুমি সেই আস্থা ভেঙেছ। আর এখন আমি বুঝতে পারছি, আমি কেবল তোমার ব্যবহারের শিকার হয়ে গেছি।",Normal statement
