Problem,Specialist
আমার দুই সপ্তাহ ধরে গন্ধের অনুভূতি কমে গেছে।,ENT
পরিবারের চোখের রোগের ইতিহাস আছে।,Ophthalmologist
"আমার কয়েক মাস যাবত ধরে মিষ্টি জাতীয় খাবার খেলে বিদ্যুৎ এর মত ঝাঁকুনি, বিশেষ করে চকলেট বা মিষ্টি ফল।",Dentist
আমার পরিবারের অন্য সদস্যদেরও কি হৃদরোগের ঝুঁকি আছে?,Cardiologist
আমার হৃদপিণ্ডের করোনারি ধমনীতে একাধিক ব্লক আছে।,Surgery
আমার পায়ের গোড়ালি ফেটে খুব ব্যথা করে।,Skin
আমার হঠাৎ করে গা কাঁপিয়ে জ্বর আসে।,Medicine
আমার গত কয়েক মাস যাবত নাক দিয়ে শ্বাস নিতে কষ্ট হচ্ছে । শরীর দুর্বল লাগছে।,ENT
চোখে ড্রপ দিলে আরাম লাগে না।,Ophthalmologist
দীর্ঘদিন ধরে মানসিক সমস্যায় ভুগতেছি (দেখলে হয়তো বুজা যায় না) সব সময় মৃত্যু ভয় কাজ করে কোন কিছুতেই শান্তি পাই না সব সময় অস্থির লাগে,Psychiatrist
আমার এক মাস ধরে কান থেকে পানি ঝরছে আরও কানে শব্দ আসে কিন্তু বুঝতে পারি না।,ENT
আমার প্রায় কয়েক সপ্তাহ যাবত নাক ঝাড়লে রক্ত বের হয়।,ENT
আমি কোনো ব্যথা পেলে বা হাত কেটে গেলে অনেকদিন সময় লেগে যায় সেটা ঠিক হতে।,Medicine
"আমার কিছুদিন সময় ধরে গরম চা/কফি খেলে তীব্র শিরশির অনুভূতি, যখন গরম ভাপ মুখে লাগে।",Dentist
আমার হাতে একটি বড় তিল হয়েছে যেটি দেখতে পরিবর্তন হচ্ছে।,Surgery
"আমার বাবা সিঁড়ি দিয়ে নামতে পারেন না, হাঁটুতে লাগে।",Orthopedic
চোখে কিছু না থাকলেও কষ্ট হয়।,Ophthalmologist
"আমার সপ্তাহের শুরুতে থেকে দাঁত ভেঙে যাওয়া, কারণ হঠাৎ করে চিবোতে গেলে দাঁত কিড়মিড়ানোর অভ্যাস আছে। আরো একটি সমস্যা হলো গভীর ক্যাভিটি দেখা যাচ্ছে।",Dentist
আমার নাড়ির গতি খুব ধীর।,Cardiologist
আমার মাঝে মাঝে জ্ঞান হারিয়ে ফেলি কয়েক সেকেন্ডের জন্য।,Medicine
সহবাসের সময় তীব্র ব্যথা অনুভব করি।,Gynecologist
আমার বাবার হাঁটু প্রতিস্থাপন করতে হবে বলেছেন ডাক্তার।,Orthopedic
আমার দুই সপ্তাহ ধরে গলার ভিতরে কিছু আটকে আছে বলে মনে হয় এছাড়াও গলা শুকিয়ে কাঠ হয়ে গেছে।,ENT
"আমার গত দুই সপ্তাহ যাবৎ নিচের বাম দিকের ক্যানাইন দাঁতে চিনচিন ব্যথা, যা ঠান্ডা/গরমে বাড়ে।",Dentist
আমার কয়েকদিন যাবত পায়ের তালু ব্যথা করে,Medicine
"তীব্র মানসিক সমস্যায় জর্জরিত আমি,আর পারছিনা।",Psychiatrist
আমি সিঁড়ি থেকে পরে পায়ে অনেক ব্যথা পাই। হাঁটতে পারছি না একদমই,Orthopedic
আমার থাইয়ের কাছে টিউমার হয়েছে।,Surgery
"আমার গত কয়েক দিন যাবৎ উপরের ডান দিকের মোলার দাঁতে চিনচিন ব্যথা, যা ঠান্ডা/গরমে বাড়ে। পাশাপাশি চোয়ালে ব্যথা।",Dentist
আমার ছেলের ক্রিকেট খেলতে গিয়ে আঙুলে চোট লেগেছে।,Orthopedic
চোখে চুলকানি কমছে না কিছুতেই।,Ophthalmologist
আমার বাবার হাত অনেক ব্যথা করে নাড়াতেই পারে না,Medicine
ডাক্তার আমাকে জীবনযাত্রায় পরিবর্তন আনতে বলেছেন।,Cardiologist
"আমি খুবই খুবই খুবই ডিপ্রেশন এ আছি, মৃত্যু ছাড়া কোনো উপায় দেখছি না",Psychiatrist
আমার পায়ের পাতা দুটো সব সময় ঠান্ডা থাকে।,Cardiologist
আমার চোখে দেখার সমস্যা হচ্ছে।,Cardiologist
আমি প্রায়ই অজ্ঞান হয়ে যাই।,Cardiologist
আমার কয়েক দিন সময় ধরে ডান কানে চিনচিন ব্যথা হচ্ছে এর সাথে কানে ভোঁ ভোঁ শব্দ হচ্ছে।,ENT
"আমার সাম্প্রতিক কয়েক সপ্তাহ ধরে মাড়ি থেকে রক্ত পড়া, ব্রাশ করলেই দেখা যায় খাবার চিবোতে সমস্যা হচ্ছে। সাথে আরও সামনের দাঁতগুলোতে তীব্র যন্ত্রণা।",Dentist
আমার ডান হাঁটুতে তীব্র ব্যথা হয়।,Orthopedic
আমি অল্প কাজ করলেই হাপাই যাই,Medicine
মানুষিক ভাবে আমি পুরোপুরি শেষ হবার উপক্রম।,Psychiatrist
"কথার প্রাঞ্জলতা ধরে রাখতে পারিনা!
কোনো কথা বলতে গেলেই মুখে অনেক লালা চলে আসে, তাই আমার কথা অনেক দ্রুত হয়ে যায়। নিজের কথা মাঝেমাঝে নিজেই বুঝিনা।
এর সমাধান কী? কীভাবে কথার ভারসাম্য ঠিক রাখব?",Psychiatrist
"আমার ঠোঁটের কোণায় ঘা হয়েছে, কিছুতেই সারছে না।",Skin
আমার পেটের ডান পাশের ব্যথাটা অ্যাপেন্ডিসাইটিসের কিনা?,Surgery
আমার মুখে রোদে বের হলেই লাল লাল ছোপ পড়ে।,Skin
আমার কনুইয়ের পুরোনো ব্যথাটা আবার ফিরে এসেছে।,Orthopedic
আমার দাদার বুকে অনেক ব্যথা করে শ্বাস নিতে কষ্ট হয়। দাদার ওপেন হার্ট সার্জারি হয়েছিলো গত ২ বছর আগে। কিন্তু এখনো ব্যথা কমছে না।,Cardiologist
ঘুমের সমস্যা কিভাবে দূর করা যাই ২/৩ঘন্টা ঘুম হই আবার গুম ভেংগে যাই সহজে গুম ধরেনা,Psychiatrist
প্রেগন্যান্সির সময় ঘাড়ের নিচে ব্যথা হয়।,Gynecologist
আমার জিহ্বা শুকিয়ে যাচ্ছে এবং মুখে দুর্গন্ধ হচ্ছে।,Medicine
"আমার গত দুই সপ্তাহ যাবৎ গরম চা/কফি খেলে বিদ্যুৎ এর মত ঝাঁকুনি, যখন গরম ভাপ মুখে লাগে। এবং এর সাথে মাড়ি সরে যাওয়া।",Dentist
আমার বুকের গড়নটা কেমন যেন অস্বাভাবিক।,Cardiologist
"আমার গত কয়েক দিন যাবৎ দাঁতের চিবোনোর পৃষ্ঠে এ গর্ত, যেখানে খাবার আটকে যায়। এর সঙ্গে উপরের ডান দিকের মোলার দাঁতে তীব্র যন্ত্রণা।",Dentist
আমার রাতে ঘুমানোর সময় বুক চেপে আসে।,Medicine
"প্রচন্ড ডিপ্রেশনে ভুগছি। রাতে ঠিক মতো ঘুমাতে পারছিনা, অনেক বেশি অভারথিংকিং করছি। চেহেরাছবিও খারাপ হয়ে যাচ্ছে।",Psychiatrist
আমার মামির একটি কিডনি অপারেশন করে ফেলে দেওয়া হয়েছিলো। কিন্তু মামির আরেকটি কিডনিও ভালো অবস্থায় নেই। এখন কোন ডাক্তার দেখানো যায়?,Medicine
আমার ব্রণের ভেতরে পুঁজ জমে থাকে।,Skin
চোখ খোলার সময় জ্বালাপোড়া অনুভব করি।,Ophthalmologist
"পিরিয়ডের সময় অনেক ঘাম হয়, বিশেষ করে রাতে ঘুমানোর সময়।",Gynecologist
ডান চোখে কিছু সময়ের জন্য অন্ধকার দেখি।,Ophthalmologist
আমার ভ্যারিকোস ভেইনের সমস্যা খুব বেড়েছে।,Surgery
আমার কপাল অনেক ব্যথা করে। ছোটো লিখা পড়তে গেলে চোখ আর কপাল ব্যথা করে,Medicine
পিরিয়ডের সময় মাথা ঘোরে এবং দুর্বল লাগে।,Gynecologist
আমার কয়েক দিন থেকে নাক একদম বন্ধ হয়ে আছে এর সাথে গন্ধ পেলে বমি পায়। কাজে মনোযোগ দিতে পারছি না।,ENT
আমার প্রায় কয়েক মাস যাবত বাম কানে তীব্র ব্যথা অনুভব করছি।,ENT
আমার এক সপ্তাহ সময় ধরে গলা ফুলে শক্ত হয়ে গেছে।,ENT
আমার পেরিফেরাল আর্টারি ডিজিজ আছে।,Cardiologist
আমার হাতের আঙুলের ডগা অবশ লাগে।,Orthopedic
গর্ভাবস্থায় চুল অস্বাভাবিকভাবে ঝরে পড়ছে।,Gynecologist
চোখের দৃষ্টি স্থির না।,Ophthalmologist
"আমার গত দুই সপ্তাহ যাবৎ সামনের দাঁতগুলোতে চিনচিন ব্যথা, যা ঠান্ডা/গরমে বাড়ে। ডাক্তার দেখানোর সিদ্ধান্ত নিয়েছি।",Dentist
"আমার ছেলে কাজে ঠিকমত মনোযোগ দিতে পারি না, ঘুম ঠিকমত হয় না খুব তারাতারি ভুলে যাই।",Medicine
আমার কয়েক দিন থেকে কান দিয়ে সাদা পুঁজ বের হচ্ছে এছাড়াও কানে অসহ্য যন্ত্রণা হচ্ছে।,ENT
সন্তান নেওয়ার আগে ব্লাড গ্রুপ মিলিয়ে নিতে চাই।,Gynecologist
প্রসবের পরে যোনি থেকে রক্ত পড়ছে।,Gynecologist
আমার ওজন অনেক বেশি এবং ডাক্তার বলেছেন হৃদরোগের ঝুঁকি আছে।,Cardiologist
আমার ত্বকে রোদের কারণে বাদামী ছোপ পড়েছে।,Skin
"আমার মামা সিঁড়ি বেয়ে উঠতে গেলে অনেক সময় পা নাড়াতে পারেন না, অনেক যন্ত্রণা করে",Medicine
আমার পায়ের তলায় চামড়া ওঠে।,Skin
আমি সন্তান নেওয়ার পর থেকে সবসময় ক্লান্ত বোধ করি।,Gynecologist
"আমার কিছুদিন সময় ধরে মাড়ি ফোলা, যা লালচে হয়ে আছে দাঁত কিছুটা নড়ছে। যন্ত্রণায় কাজে মনোযোগ দিতে পারছি না।",Dentist
আমার বুকের ব্যথাটা কাঁধ ও হাতে ছড়িয়ে পড়ছে।,Cardiologist
আমার দুই সপ্তাহ থেকে গিলতে গেলে গলায় যন্ত্রণা হয় । খাবার খেতে কষ্ট হচ্ছে।,ENT
আমার নখের ওপর সাদা সাদা দাগ পড়েছে।,Skin
আমার কাঁধে ব্যথা হচ্ছে এবং হাত তুলতে পারছি না।,Medicine
আমার হার্টের ভাল্ভ মেরামত করা হয়েছে।,Cardiologist
আমার অনেক অস্থির লাগে হঠাত হঠাত ,Medicine
প্রেগন্যান্সির সময় চোখ দিয়ে পানি পড়ে।,Gynecologist
আমার প্রস্রাবের পরিমাণ কমে গেছে।,Cardiologist
আমার পায়ের পাতার হাড় ভেঙে টুকরো হয়ে গেছে।,Surgery
আমার প্রায় কয়েক দিন যাবত জোরে কথা বলতে কষ্ট হয়।,ENT
আমার গত কয়েক সপ্তাহ যাবত কানে শব্দ আসে কিন্তু বুঝতে পারি না সাথে সাথে কান দিয়ে সাদা পুঁজ বের হচ্ছে।,ENT
আমার সারা শরীরে ছোট ছোট তিল হচ্ছে।,Skin
আমার চোখের পাতা ফুলে গেছে।,Medicine
চোখের সামনে কালো ধোঁয়া দেখি।,Ophthalmologist
আমার চোখে ব্যথা হয়।,Ophthalmologist
আমার গত কয়েক দিন যাবত নাক দিয়ে শ্বাস নিতে কষ্ট হচ্ছে এছাড়াও নাক ঝাড়লে রক্ত বের হয়। খাবার খেতে কষ্ট হচ্ছে।,ENT
"আমার প্রায় মাসখানেক ধরে ঠান্ডা পানীয় খেলে তীব্র শিরশির অনুভূতি, এমনকি কামড় দিয়ে আপেল খেলেও। ব্যথানাশক ছাড়া চলছেই না।",Dentist
আমার দাদুর ডায়াবেটিস কমছে না,Medicine
"আমার সাম্প্রতিক কয়েক সপ্তাহ ধরে দাঁত ভেঙে যাওয়া, কারণ হঠাৎ করে চিবোতে গেলে অতিরিক্ত শক্ত ব্রাশ ব্যবহার করি। যা দৈনন্দিন কাজে ব্যাঘাত ঘটাচ্ছে এর সঙ্গে মাড়ি সরে যাওয়া।",Dentist
আমার সামান্য পরিশ্রমেও শ্বাসকষ্ট হয়।,Cardiologist
"আমার চোখের নিচে কালো দাগ পড়েছে, দেখতে খুব ক্লান্ত লাগে।",Skin
আমার হাত কাপছে এবং দুর্বল বোধ করছি।,Medicine
আমি বেশিক্ষন হাঁটলে পায়ে পানি চলে আসে,Medicine
আমার কনুইয়ের চামড়া খুব খসখসে আর সাদা হয়ে থাকে।,Skin
"প্রেগন্যান্সির সময় অনেক গ্যাস হয়, খাওয়া দাওয়া করতে কষ্ট হয়।",Gynecologist
আমার পায়ের পাতায় অবশ ভাবটা রাতে বাড়ে।,Orthopedic
আমার হঠাৎ করে তীব্র মাথা ব্যাথা শুরু হয়েছে।,Cardiologist
পিরিয়ডের সময় শরীর একদম নিস্তেজ হয়ে পড়ে।,Gynecologist
আমার গত কয়েক সপ্তাহ যাবত কানে কিছু আটকে আছে বলে মনে হয় আরও বাম কানে তীব্র ব্যথা অনুভব করছি।,ENT
মোটরসাইকেল দুর্ঘটনায় আমার কলারবোন ভেঙে গেছে।,Surgery
প্রেগন্যান্সির সময় দৃষ্টিশক্তি দুর্বল হয়ে গেছে।,Gynecologist
আমার ডিম্বাশয়ে একটি বড় সিস্ট হয়েছে।,Surgery
চোখে পানি পড়লে চোখ জ্বলে।,Ophthalmologist
আমার অনেক পায়খানার চাপ আসে কিন্তু পায়খানা করতে গেলে পায়খানা অনেক কশা হয়ে থাকে। এতে করে আমার পেটেও অনেক ব্যথা করে,Medicine
আমার ঠোঁটের ওপর ছোট ছোট ঘামের মতো দানা ওঠে।,Skin
আমার কুঁচকির ব্যথাটা হার্নিয়ার জন্য কিনা সন্দেহ হচ্ছে।,Surgery
আমার আম্মু সকালে ঘুম থেকে উঠে হাত নাড়াতে পারছেন না।,Orthopedic
পিরিয়ডের সময় অতিরিক্ত ক্লান্তি অনুভব করি।,Gynecologist
আমার আস্তে আস্তে ওজন কমে যাচ্ছে আর বমি ভাব আর বমি হয়। দুর্বল লাগে।,Medicine
আমি মাথা ব্যথার যন্ত্রণায় দৈনন্দিন কাজগুলো ঠিকমত করতে পারি না,Medicine
আমার ত্বকে পোকামাকড় কামড়ালে দাগটা সহজে যায় না।,Skin
আমার বাবার হাঁটুতে ব্যথার জন্য তিনি হাঁটতে ভয় পান।,Orthopedic
আমার ছেলের হাতে কয়েকটি শক্ত আঁচিলের মত হয়েছে।,Skin
আমার দুই সপ্তাহ সময় ধরে কান থেকে পানি ঝরছে । যন্ত্রণায় ঘুমাতে পারছি না।,ENT
"আমার গত দুই সপ্তাহ যাবৎ নিচের বাম দিকের ক্যানাইন দাঁতে চিনচিন ব্যথা, যা ঠান্ডা/গরমে বাড়ে। এমনকি নরম খাবার খেতেও কষ্ট হচ্ছে পাশাপাশি গর্ত দেখা যাচ্ছে।",Dentist
ভাই আমি শেষ আমার ভুলের জন্য কোনোভাবেই ডিপ্রেশন চিন্তা মুক্ত থাকতে পারতেছি না। মামা বাবা তো সেটা তো জানে না।,Psychiatrist
চোখের ভেতর তীক্ষ্ণ ব্যথা অনুভব করি।,Ophthalmologist
আমার হার্টে স্টেন্ট লাগানোর পর কতদিন পর্যন্ত ভারী কাজ করা থেকে বিরত থাকতে হবে?,Cardiologist
"আচ্চা আপনারাও কি সপ্নের ভিতর ব্যথা পাইলে সেটা অনুভব করেন..? 
আমার কিন্তু সপ্নের ভিতর ও ব্যথা অনুভব হয়। তখন আমি যে ঘুমে আছি সেটাও বুঝি এবং খুব চেস্টা করি জাগ্রত হওয়ার জন্য।",Psychiatrist
আমার দুই সপ্তাহ সময় ধরে সকালে ঘুম থেকে উঠলে নাক দিয়ে রক্ত পড়ে সাথে সাথে রাতে নাক বন্ধ হয়ে যায়। খাবার খেতে কষ্ট হচ্ছে।,ENT
আমার জীবনটা অর্থহীন মনে হয়।,Cardiologist
চোখের উপরিভাগে চুলকানি হয়।,Ophthalmologist
আমার গত এক সপ্তাহ যাবত গন্ধের অনুভূতি কমে গেছে আরও নাক দিয়ে রক্ত পড়ছে।,ENT
ধীরে ধীরে চোখের দৃষ্টি কমে যাচ্ছে।,Ophthalmologist
আমার এক মাস ধরে গলা ফুলে শক্ত হয়ে গেছে । খাবার খেতে কষ্ট হচ্ছে।,ENT
আমার মেয়ের মেরুদণ্ড সোজা নয়।,Orthopedic
প্রেগন্যান্সিতে হালকা রক্তপাত হলে কী করা উচিত?,Gynecologist
চোখে পানি জমে চোখ ভারী হয়ে যায়।,Ophthalmologist
